CustomerID,Name,Age,Address,City,State,ZipCode,VerizonPlan,AmazonPrimeStatus,DeviceMake,DeviceModel,AcceptedOffer,VerizonDataUsageGB,AmazonRegularPurchases,AmazonOfferPurchases,PeakStreamingHour,PeakStreamingDay,AmazonPrimeVideoHours
141090,Madison Patrick,60,346 Erin Underpass,Boston,MO,56254,Standard,Yes,Apple,Pixel 6,"First purchase: Buy two phones, one on us",22.37,4,7,15:21,Saturday,41.14
429365,Chelsey Williams,65,885 Collins Loaf,Boston,OR,78519,Premium,No,Huawei,OnePlus 9,Buy a tablet: 30% off on us,9.0,11,4,16:23,Thursday,7.08
164820,Anthony Miller,28,20756 Collins Flats Apt. 978,Indianapolis,IN,10739,Premium,Yes,OnePlus,P40 Pro,"First purchase: Buy two phones, one on us",35.52,16,4,22:00,Monday,0.28
887201,Melissa Moreno,68,49489 Susan Curve Apt. 044,Denver,NV,82979,Basic,No,OnePlus,Galaxy S21,Buy a tablet: 30% off on us,5.3,8,8,09:38,Sunday,24.77
421879,Shelby Thomas,64,737 Scott Bridge,Nashville,CA,65419,Premium,No,Google,iPhone 13,Buy a tablet: 30% off on us,8.69,13,2,17:08,Wednesday,2.01
818315,Carol Perkins,40,33968 Miller Fords Apt. 799,Columbus,WA,47157,Standard,Yes,Google,Galaxy S21,"Bundle in TV shows, movies, or series: 10% discount",34.09,19,1,04:45,Thursday,2.42
427069,Anthony Ball,33,495 Stewart Forks Suite 083,Houston,WA,70277,Basic,Yes,Samsung,iPhone 13,Buy a tablet: 30% off on us,43.81,9,3,08:05,Sunday,23.33
876997,Daniel Castro,48,65923 Kaylee Pines Suite 939,Cincinnati,MO,15358,Standard,No,Samsung,Galaxy S21,20% off Amazon Prime subscription,27.78,6,0,08:17,Thursday,28.15
299041,Alexandra Yates,28,862 Hansen Mission Apt. 567,Chicago,NY,78823,Basic,No,OnePlus,iPhone 13,"Bundle in TV shows, movies, or series: 10% discount",14.41,11,3,14:18,Saturday,23.06
891743,Tina Fowler,33,588 Espinoza Overpass,Miami,TX,59235,Premium,Yes,Google,iPhone 13,"First purchase: Buy two phones, one on us",29.76,3,5,19:05,Friday,16.36
203355,Christina Vargas,25,74898 Harris Spring Suite 249,Nashville,TX,42771,Standard,No,Apple,Galaxy S21,"First purchase: Buy two phones, one on us",4.89,8,8,22:50,Sunday,12.87
335796,Anna Miller,21,15353 Clifford Manors Suite 923,Columbus,CA,89952,Basic,No,Huawei,Galaxy S21,"First purchase: Buy two phones, one on us",15.4,4,0,08:26,Monday,8.54
314176,Christina Gallegos,57,617 James Corner,San Francisco,TX,6856,Basic,No,Google,iPhone 13,Free upgrade to the next Verizon plan tier for 3 months,48.77,7,5,21:39,Tuesday,34.5
284779,Benjamin Harvey,21,031 Thomas Shoals Apt. 686,Nashville,DC,51949,Premium,Yes,Google,OnePlus 9,Buy a tablet: 30% off on us,46.01,0,2,00:59,Thursday,15.21
447449,Renee Dodson,42,111 Chapman Run,Fort Worth,AZ,32000,Premium,No,Samsung,Galaxy S21,Buy a tablet: 30% off on us,34.76,5,1,12:06,Saturday,49.44
521909,Thomas Nelson,20,331 Eric Prairie Apt. 756,New York,CA,60415,Premium,Yes,Huawei,Pixel 6,"First purchase: Buy two phones, one on us",8.34,15,0,09:09,Wednesday,6.01
358795,Roger Smith,49,1861 Smith Haven Apt. 959,San Diego,MO,76213,Standard,No,OnePlus,P40 Pro,"First purchase: Buy two phones, one on us",37.13,3,6,19:25,Sunday,32.11
586232,Timothy Fischer,20,616 Lane Forks Suite 352,Denver,FL,90543,Basic,Yes,Google,iPhone 13,Free upgrade to the next Verizon plan tier for 3 months,38.89,9,7,14:13,Wednesday,8.96
600186,Ian Scott,44,207 Bradley Pines Suite 802,Denver,TN,39693,Premium,No,OnePlus,iPhone 13,Buy a tablet: 30% off on us,24.33,19,1,18:12,Saturday,10.14
256730,Tammy James,46,71056 Amanda Common,Las Vegas,FL,27199,Standard,Yes,Google,P40 Pro,"First purchase: Buy two phones, one on us",2.43,18,4,15:01,Monday,5.97
970910,Kimberly Mckee,49,75167 Hannah Causeway Suite 862,Fort Worth,TX,58256,Standard,Yes,OnePlus,OnePlus 9,Free upgrade to the next Verizon plan tier for 3 months,44.27,18,7,21:48,Monday,39.06
484681,Allen Wright,67,84107 Caitlin Harbor,Cleveland,MO,66200,Standard,Yes,Huawei,P40 Pro,"First purchase: Buy two phones, one on us",8.46,19,4,16:36,Sunday,11.15
249503,Aaron Spears,68,7642 Thomas Forges,Minneapolis,CA,82941,Premium,No,Samsung,Galaxy S21,20% off Amazon Prime subscription,28.61,16,2,05:12,Monday,7.53
754811,Sarah Flores,36,77806 Bowen Falls Suite 974,Cleveland,CA,1919,Premium,No,Huawei,P40 Pro,"First purchase: Buy two phones, one on us",16.89,0,7,22:40,Thursday,19.84
627035,Ronald Olsen,38,49615 Kyle Loop Suite 366,Los Angeles,MA,95035,Basic,No,Apple,iPhone 13,"First purchase: Buy two phones, one on us",35.56,19,3,19:47,Thursday,27.71
748143,Jessica Booker,22,861 Diane Burgs,Indianapolis,AZ,36889,Basic,Yes,Samsung,P40 Pro,Buy a tablet: 30% off on us,18.55,16,9,08:42,Thursday,9.0
552366,Jonathan Calhoun,35,5060 Cynthia Knolls Apt. 715,Los Angeles,FL,60873,Premium,No,Huawei,Pixel 6,"Bundle in TV shows, movies, or series: 10% discount",25.25,3,2,17:57,Tuesday,40.28
165725,Joshua Zamora,45,237 Barber Passage Apt. 179,Nashville,OR,927,Standard,Yes,Apple,Galaxy S21,Buy a tablet: 30% off on us,25.68,18,0,00:28,Monday,47.91
229981,Allison Gonzalez,59,6253 Thomas Camp,Houston,TN,91853,Standard,No,Google,P40 Pro,"First purchase: Buy two phones, one on us",3.07,6,6,16:36,Wednesday,15.09
184654,Courtney Dominguez,39,92663 Kyle Union,Washington,IL,88382,Standard,Yes,Google,iPhone 13,Buy a tablet: 30% off on us,38.57,8,5,20:19,Sunday,45.2
691723,Kenneth Hall,38,595 Jones Mission,Chicago,CA,94848,Basic,Yes,OnePlus,Galaxy S21,Free upgrade to the next Verizon plan tier for 3 months,8.53,10,3,20:32,Saturday,41.31
419030,Amanda Garcia,23,55215 Garcia Ville,Charlotte,OH,29689,Standard,Yes,Samsung,iPhone 13,Free upgrade to the next Verizon plan tier for 3 months,35.03,5,7,08:42,Thursday,27.58
428947,Heather Hayes,18,9389 Christian Oval,Austin,MO,27210,Basic,No,Google,OnePlus 9,Buy a tablet: 30% off on us,44.14,12,2,22:23,Friday,13.76
655839,Nicole Keith,22,793 Mcdonald Stream Apt. 456,San Francisco,MI,74363,Basic,No,Samsung,Pixel 6,"First purchase: Buy two phones, one on us",6.4,19,6,12:35,Thursday,22.32
373538,Peggy Barry,58,96970 Quinn Terrace,Denver,IN,75040,Standard,No,Google,OnePlus 9,"Bundle in TV shows, movies, or series: 10% discount",0.72,13,2,20:10,Sunday,28.26
431236,Linda Evans,29,530 Brian Trail Apt. 246,Minneapolis,CA,48499,Standard,Yes,OnePlus,Pixel 6,Buy a tablet: 30% off on us,42.5,15,7,14:49,Sunday,15.59
628178,Arthur Bennett,43,52057 Mendoza Canyon Suite 146,Nashville,AZ,43492,Premium,Yes,Huawei,P40 Pro,Free upgrade to the next Verizon plan tier for 3 months,30.18,5,2,15:26,Monday,6.8
665894,Mrs. Ashley Flores,63,8098 White Isle Apt. 310,Nashville,TN,23349,Premium,No,OnePlus,Galaxy S21,"Bundle in TV shows, movies, or series: 10% discount",29.28,10,7,10:49,Thursday,13.59
589492,Becky Chandler,51,8083 Joseph Terrace,Fort Worth,MI,67954,Standard,No,Apple,P40 Pro,"First purchase: Buy two phones, one on us",10.49,12,3,20:57,Tuesday,34.68
356840,Darrell Mcdaniel,66,17433 Rita Lodge Suite 258,Miami,AZ,85694,Basic,No,Google,Pixel 6,"First purchase: Buy two phones, one on us",13.8,4,9,18:32,Friday,11.92
573254,Charles Coleman,31,41506 Derek Well,Los Angeles,OR,3790,Basic,Yes,Apple,Pixel 6,"First purchase: Buy two phones, one on us",25.56,11,5,01:09,Saturday,33.07
449457,William Patton,43,835 Shannon Fall Suite 310,Denver,MN,25855,Basic,Yes,Apple,Pixel 6,"Bundle in TV shows, movies, or series: 10% discount",48.49,17,4,03:14,Tuesday,38.1
765987,Michael Price,62,87700 Sandoval Crescent,Indianapolis,CA,98177,Basic,Yes,Samsung,iPhone 13,"Bundle in TV shows, movies, or series: 10% discount",5.3,4,8,16:38,Thursday,31.56
370936,Jeremy Monroe,44,8044 Wheeler Crescent Suite 601,Miami,OR,17504,Basic,Yes,Google,Galaxy S21,Free upgrade to the next Verizon plan tier for 3 months,19.04,17,5,23:02,Sunday,2.7
339931,Melanie Monroe,26,093 Dale Creek Apt. 980,Detroit,OH,61662,Premium,Yes,Apple,P40 Pro,"First purchase: Buy two phones, one on us",42.85,17,5,06:06,Thursday,24.77
339629,Diane Cummings,43,1985 Schmidt Park Apt. 033,Fort Worth,GA,36074,Standard,No,Huawei,P40 Pro,20% off Amazon Prime subscription,24.35,19,2,09:56,Monday,4.48
305041,Allison Hunt,64,6850 Molly Dale,Cincinnati,MI,24045,Premium,Yes,Apple,OnePlus 9,Free upgrade to the next Verizon plan tier for 3 months,2.25,3,6,09:40,Tuesday,8.45
798361,Ashley Patel,39,618 Hill Centers,Chicago,CA,30316,Basic,Yes,Huawei,Pixel 6,Free upgrade to the next Verizon plan tier for 3 months,17.77,13,5,09:06,Wednesday,43.63
831912,Joshua Garner,64,717 Stephen Fords,Washington,CO,10588,Basic,Yes,Samsung,Pixel 6,"First purchase: Buy two phones, one on us",28.39,4,7,01:26,Saturday,13.18
517113,Michael Wilson,47,6077 Samantha Trail,Portland,GA,42972,Basic,Yes,Apple,Pixel 6,"First purchase: Buy two phones, one on us",37.71,2,2,06:15,Thursday,47.46
168148,Renee Barnett,60,416 Nelson Inlet Suite 982,Columbus,TX,59426,Basic,Yes,OnePlus,P40 Pro,"First purchase: Buy two phones, one on us",11.49,15,4,18:12,Friday,48.3
877089,Dorothy Bradley,65,609 Fernandez Spurs,Tampa,MN,69926,Standard,No,Samsung,OnePlus 9,"First purchase: Buy two phones, one on us",43.18,18,9,19:13,Saturday,38.64
748531,Jennifer Griffin,34,07295 Nicholson Squares,Kansas City,OH,24846,Basic,Yes,Huawei,iPhone 13,"First purchase: Buy two phones, one on us",5.41,8,5,12:30,Thursday,7.75
351995,Mary Little,43,47742 Thomas Vista,Nashville,FL,74451,Standard,Yes,Samsung,Galaxy S21,"Bundle in TV shows, movies, or series: 10% discount",3.68,5,3,01:55,Monday,2.85
778843,Kathryn Hogan,53,37971 Pope Centers Suite 166,Atlanta,CA,90631,Basic,Yes,Apple,iPhone 13,Buy a tablet: 30% off on us,19.89,12,5,23:01,Sunday,29.56
672843,Michael Dean,18,142 Faulkner Roads Apt. 628,Denver,AZ,88039,Standard,No,Google,P40 Pro,Buy a tablet: 30% off on us,16.39,2,8,19:47,Monday,44.54
356508,Jennifer Yates,25,547 Audrey Throughway Apt. 777,Seattle,NY,18018,Premium,No,Google,Pixel 6,20% off Amazon Prime subscription,3.47,7,4,11:20,Sunday,34.8
903591,Barry Mason,66,6798 Vaughan Parks Apt. 135,Phoenix,NC,35066,Basic,No,Huawei,Galaxy S21,20% off Amazon Prime subscription,15.86,9,8,00:03,Tuesday,44.88
996942,Tyler Martin,52,7796 Justin Streets,Cincinnati,GA,2960,Standard,Yes,Huawei,P40 Pro,"First purchase: Buy two phones, one on us",43.9,16,1,17:34,Sunday,28.62
206530,Elizabeth Pollard,69,080 Amanda Manor Apt. 101,Miami,OH,63221,Premium,No,Google,P40 Pro,Buy a tablet: 30% off on us,8.35,15,6,03:18,Thursday,21.15
704365,Patricia Daniels,32,62208 Dana Haven Apt. 791,San Diego,MA,88167,Basic,Yes,Huawei,P40 Pro,"First purchase: Buy two phones, one on us",39.58,16,0,17:45,Tuesday,15.78
922352,Richard Brown,64,878 Russell Extension,Las Vegas,NC,18394,Basic,Yes,Samsung,Galaxy S21,Buy a tablet: 30% off on us,39.59,3,3,11:48,Monday,11.36
560337,Erin Alvarez,39,34445 Brandon Island Apt. 365,Orlando,GA,13158,Basic,No,OnePlus,Galaxy S21,"First purchase: Buy two phones, one on us",4.9,7,4,03:01,Friday,32.36
824839,James Dixon,31,82297 Parker Spring,Phoenix,GA,22880,Standard,Yes,OnePlus,OnePlus 9,Free upgrade to the next Verizon plan tier for 3 months,23.53,19,5,19:43,Sunday,2.03
905889,Tiffany Jones,43,221 Sanders Way Apt. 737,Chicago,MA,61342,Standard,Yes,Samsung,OnePlus 9,"Buy one accessory, get another 50% off",43.76,17,5,18:06,Tuesday,7.31
559773,Leslie Rose,45,6640 Taylor Drives,Cincinnati,AZ,83665,Premium,Yes,OnePlus,iPhone 13,Free streaming service for 6 months with any Verizon plan,33.56,9,8,23:14,Friday,42.34
308261,Christopher Meyers,40,549 Love Rest,New York,NC,64021,Standard,No,Apple,Galaxy S21,"First purchase: Buy two phones, one on us",46.18,12,7,09:14,Friday,23.17
864469,Melissa Webb,31,62828 Devin Spurs,Cleveland,TX,28842,Standard,Yes,Samsung,Galaxy S21,Free upgrade to the next Verizon plan tier for 3 months,11.28,8,4,03:49,Tuesday,32.65
441097,Makayla Alvarez,41,17592 Price Manors,Kansas City,DC,81744,Basic,Yes,Huawei,Galaxy S21,"First purchase: Buy two phones, one on us",2.73,17,6,09:08,Monday,32.92
415139,Zachary Moore,19,2678 Tara Pass Suite 712,San Diego,IL,31012,Basic,No,Samsung,OnePlus 9,"First purchase: Buy two phones, one on us",49.06,0,8,12:57,Wednesday,27.24
271829,Christina Carroll,62,81712 King Neck Suite 377,Denver,DC,32376,Basic,Yes,Google,P40 Pro,Double your data for 3 months at no extra cost,30.82,11,6,18:01,Tuesday,23.35
371836,Kimberly Hamilton,43,6642 Roger Ranch Suite 750,Los Angeles,MO,27934,Basic,Yes,Huawei,Pixel 6,"Bundle in TV shows, movies, or series: 10% discount",6.12,14,8,08:54,Saturday,27.35
538974,John Larson,31,0610 Cook Isle,Nashville,TX,16451,Basic,No,Google,OnePlus 9,"First purchase: Buy two phones, one on us",30.97,3,3,06:01,Saturday,1.87
302283,Jay Williams,68,69191 Kenneth Course Suite 607,Chicago,GA,95069,Basic,Yes,Huawei,Galaxy S21,"First purchase: Buy two phones, one on us",15.15,5,2,07:02,Saturday,36.29
296769,Matthew Fernandez Jr.,24,14466 Johnny Mount,Washington,FL,80807,Basic,Yes,OnePlus,OnePlus 9,Buy a tablet: 30% off on us,4.36,7,2,08:50,Saturday,43.82
661353,Catherine Fitzgerald,20,526 Miller Ports Suite 581,Orlando,MN,41399,Premium,Yes,Samsung,iPhone 13,"First purchase: Buy two phones, one on us",45.72,8,8,17:42,Sunday,8.89
323165,Daniel Wade,64,66492 Meyer Gardens,Tampa,GA,43787,Premium,Yes,Apple,Galaxy S21,"First purchase: Buy two phones, one on us",2.29,2,0,16:35,Thursday,36.24
723587,Summer Bishop,40,0088 Traci Club,Columbus,OH,97518,Premium,Yes,Huawei,iPhone 13,Buy a tablet: 30% off on us,7.53,13,7,19:13,Tuesday,46.06
635822,Angela Smith,63,98465 Jason Skyway Apt. 633,Boston,OR,83442,Premium,No,Huawei,Galaxy S21,Buy a tablet: 30% off on us,25.92,0,2,11:27,Monday,43.88
587879,Robert Burgess,60,080 Turner Passage Apt. 164,Denver,TX,64263,Basic,No,Google,OnePlus 9,"First purchase: Buy two phones, one on us",45.66,10,1,07:54,Wednesday,41.12
664685,Bradley Robertson,64,712 Richard Fort Apt. 586,Columbus,CA,23242,Premium,No,OnePlus,P40 Pro,20% off Amazon Prime subscription,45.66,0,8,06:33,Monday,40.11
882038,Jessica Barnett,62,52937 Angela Ford,Seattle,FL,14125,Basic,No,Google,Pixel 6,"First purchase: Buy two phones, one on us",17.91,0,6,07:30,Sunday,34.96
453531,Gina Foster,35,4974 Rodriguez Spur,Cincinnati,WA,90596,Premium,Yes,Google,iPhone 13,Buy a tablet: 30% off on us,2.59,19,4,12:40,Monday,28.43
363160,John Weber,55,707 Margaret Village Suite 702,Dallas,MO,41319,Standard,Yes,OnePlus,OnePlus 9,Buy a tablet: 30% off on us,32.05,13,3,19:46,Sunday,18.34
679879,John Greene,52,653 Joshua Walk,Kansas City,MA,34223,Premium,Yes,Apple,P40 Pro,Buy a tablet: 30% off on us,44.56,6,3,19:08,Friday,20.03
320884,Larry Stephens,68,670 Amanda Harbor Suite 893,Indianapolis,TX,6037,Premium,Yes,Google,OnePlus 9,Buy a tablet: 30% off on us,46.48,14,7,16:52,Thursday,1.31
123247,Charlene Moses,32,88121 Newton Stream,Orlando,IL,3282,Basic,Yes,Google,iPhone 13,"First purchase: Buy two phones, one on us",38.75,12,7,20:50,Saturday,13.44
124300,Marvin Cline,42,38217 Kimberly Circle,Washington,TX,48307,Premium,No,Huawei,Pixel 6,"First purchase: Buy two phones, one on us",44.11,1,6,19:14,Wednesday,5.48
567281,Kenneth Smith,54,1878 Oconnor Lock,Nashville,TN,3708,Standard,No,OnePlus,OnePlus 9,"Bundle in TV shows, movies, or series: 10% discount",35.47,14,2,12:21,Friday,36.42
707086,Mr. Franklin Cantrell,45,2547 Hardy Ports Suite 455,Atlanta,FL,77328,Basic,Yes,Samsung,Galaxy S21,"First purchase: Buy two phones, one on us",46.28,7,5,17:26,Friday,13.32
633556,Paul Wilson,27,5707 Samuel Points Apt. 610,Dallas,TN,9765,Basic,Yes,Apple,P40 Pro,"First purchase: Buy two phones, one on us",4.18,11,6,12:54,Tuesday,10.95
448951,Jimmy Richardson,56,841 Michael Ports Apt. 624,Denver,CA,79760,Premium,Yes,Apple,OnePlus 9,Buy a tablet: 30% off on us,44.24,7,3,15:00,Saturday,48.49
374329,Leslie Dalton,34,53553 Martin Rapids,Cincinnati,TX,28846,Basic,No,OnePlus,P40 Pro,"Buy one accessory, get another 50% off",35.68,18,9,13:52,Monday,18.69
819064,Erik Brown,56,8492 Ashley Route,Indianapolis,GA,16573,Basic,Yes,Huawei,Galaxy S21,"First purchase: Buy two phones, one on us",29.88,6,4,03:34,Friday,14.18
842139,Debbie Miller,39,165 Macias Junctions Apt. 632,Boston,TX,26473,Basic,Yes,Huawei,Pixel 6,"First purchase: Buy two phones, one on us",24.82,5,7,23:36,Friday,24.53
532315,Samantha Stewart,43,691 Megan Stravenue,Miami,NC,38473,Basic,Yes,OnePlus,Pixel 6,"First purchase: Buy two phones, one on us",28.98,8,5,04:28,Sunday,28.49
616588,Barbara Ross,61,58975 Young Haven Suite 027,San Francisco,DC,45683,Basic,No,Huawei,Galaxy S21,Bundle home internet with mobile for a 15% discount,43.84,16,9,10:27,Wednesday,32.22
336584,Christopher Rodgers,42,03065 Debra Walk,Chicago,TX,57107,Basic,Yes,Apple,P40 Pro,"First purchase: Buy two phones, one on us",6.08,8,0,15:19,Sunday,49.26
662332,Alicia Clark,34,81168 Jenna Prairie,Nashville,DC,18152,Standard,No,Apple,OnePlus 9,"Bundle in TV shows, movies, or series: 10% discount",14.29,4,8,18:42,Tuesday,45.75
937646,Christopher Wilkerson,30,836 Steven Pike Suite 969,Columbus,FL,47374,Premium,No,Samsung,Galaxy S21,20% off Amazon Prime subscription,38.88,17,8,08:35,Sunday,32.27
476896,Laura Soto PhD,37,13473 Rodriguez Forge,Atlanta,TX,99598,Standard,No,OnePlus,iPhone 13,20% off Amazon Prime subscription,32.64,7,5,01:33,Thursday,46.7
148984,Mallory Hodges,42,7923 Stephanie Summit,Tampa,TX,96791,Basic,No,Google,P40 Pro,Buy a tablet: 30% off on us,28.67,7,9,04:50,Wednesday,40.09
402918,Angel Richardson,21,81021 Mary Coves,Kansas City,NY,96156,Basic,No,Google,Pixel 6,"First purchase: Buy two phones, one on us",40.83,7,2,22:57,Friday,32.52
364712,David Flores,27,00379 Hughes Valleys,Cleveland,CA,17713,Premium,No,Samsung,Galaxy S21,Buy a tablet: 30% off on us,25.32,8,5,11:22,Tuesday,40.87
220151,Jocelyn Duffy,20,457 Daniels Inlet Apt. 959,Chicago,MO,43541,Standard,Yes,Samsung,Pixel 6,Get a $50 gift card with any new phone purchase,3.64,17,7,05:52,Sunday,1.11
555808,Alexander Harper,58,768 Young Brook,Miami,WA,24918,Premium,Yes,Huawei,P40 Pro,Buy a tablet: 30% off on us,21.74,4,3,21:45,Sunday,18.36
233767,Tommy Newton,62,94456 Derrick Road,Indianapolis,TN,9628,Standard,Yes,Samsung,Pixel 6,Buy a tablet: 30% off on us,3.11,14,2,13:42,Thursday,47.94
748663,Ashley Sanchez,35,10634 Katelyn Forks,Denver,NY,32762,Basic,No,Samsung,Galaxy S21,"Bundle in TV shows, movies, or series: 10% discount",32.87,1,3,22:56,Sunday,49.87
803550,Keith Wilson,64,925 Lawrence Viaduct,Orlando,TX,12391,Premium,Yes,Google,P40 Pro,Buy a tablet: 30% off on us,32.84,14,8,10:23,Friday,6.73
236330,Ray Hendricks,53,764 William Circle,Portland,MA,19628,Premium,No,Huawei,iPhone 13,"First purchase: Buy two phones, one on us",47.92,19,7,06:59,Wednesday,24.29
580754,Lisa Johnson,64,60128 Keith Run Suite 902,Indianapolis,OH,38494,Basic,No,Samsung,Galaxy S21,"Bundle in TV shows, movies, or series: 10% discount",15.4,19,8,20:19,Sunday,45.08
401648,Molly Gillespie,39,206 Matthew Gateway,San Francisco,MO,48507,Premium,No,Samsung,OnePlus 9,"First purchase: Buy two phones, one on us",19.62,4,8,02:09,Thursday,26.95
788519,Eric Peters,51,22221 Melissa Tunnel Apt. 392,Washington,TX,38741,Standard,Yes,Huawei,Galaxy S21,Free upgrade to the next Verizon plan tier for 3 months,15.47,0,1,01:21,Saturday,45.51
113986,Roberto Solis,64,828 Reyes Ford Suite 275,Portland,GA,98113,Standard,No,OnePlus,P40 Pro,Buy a tablet: 30% off on us,5.27,19,9,14:55,Friday,15.08
686146,Michael Hanna,25,6796 Eddie Court,Columbus,MO,39097,Standard,No,Huawei,Galaxy S21,Buy a tablet: 30% off on us,44.13,11,9,01:28,Monday,8.97
229312,Steven Mcdaniel,57,94165 Angela Forks Apt. 547,Miami,TX,64751,Standard,Yes,Google,iPhone 13,"First purchase: Buy two phones, one on us",6.53,17,4,14:54,Sunday,3.89
112666,Meghan Spencer,66,2854 James Extensions,Houston,MN,44127,Basic,Yes,OnePlus,iPhone 13,"Bundle in TV shows, movies, or series: 10% discount",13.35,18,7,06:30,Saturday,16.58
400804,Lisa Butler,61,0700 Olson Lane,Austin,CA,60699,Premium,No,Apple,OnePlus 9,"First purchase: Buy two phones, one on us",30.98,15,2,10:32,Monday,32.6
234633,Paige Perez,36,2597 Johnson Rapids,San Diego,TX,66652,Standard,No,Huawei,Pixel 6,"Bundle in TV shows, movies, or series: 10% discount",39.65,12,5,05:41,Wednesday,44.86
388998,Paula Graham,59,998 Smith Spurs,Seattle,OH,42376,Basic,Yes,Google,P40 Pro,Buy a tablet: 30% off on us,8.01,2,9,15:47,Monday,10.07
950937,Ann Morrison,58,3649 William Groves,Orlando,MI,23342,Premium,Yes,OnePlus,P40 Pro,"First purchase: Buy two phones, one on us",18.34,3,9,10:32,Sunday,32.07
728776,Anthony Jones,54,7624 Nicole Ports,Kansas City,TX,21660,Premium,Yes,Huawei,Pixel 6,Free streaming service for 6 months with any Verizon plan,24.66,9,1,15:07,Wednesday,8.87
807611,Elizabeth Johnson,23,08189 Lewis Walks,Detroit,DC,80341,Basic,No,Samsung,iPhone 13,Buy a tablet: 30% off on us,6.11,14,5,09:28,Friday,27.67
384806,Mitchell Gay,69,46590 Jennifer Trail Apt. 871,Detroit,CO,68157,Basic,Yes,Huawei,iPhone 13,Free upgrade to the next Verizon plan tier for 3 months,43.91,16,2,09:09,Thursday,22.92
894824,Jennifer Kelly,43,180 Lisa Mountains,Atlanta,DC,38498,Standard,Yes,Apple,Galaxy S21,"First purchase: Buy two phones, one on us",13.42,1,6,20:05,Wednesday,21.72
130535,Jennifer Morton,51,89055 Alexander Row,Atlanta,MO,95064,Premium,Yes,Huawei,OnePlus 9,Buy a tablet: 30% off on us,2.84,10,9,01:17,Saturday,34.02
475713,Lisa Stewart,62,89194 Adkins Flat Suite 378,Los Angeles,MN,85795,Premium,No,OnePlus,OnePlus 9,"First purchase: Buy two phones, one on us",45.55,3,5,15:48,Friday,9.42
